"inline_NO_brace","inline_YES_brace","nextline_brace","double_backslash_NO_Space","double_backslash_YES_Space","single_backslash_asterisk","NO_parenthesis","YES_parenthesis","unary_NO_space","unary_YES_space","NO_binary_NO","NO_binary_YES","YES_binary_NO","YES_binary_YES","Programmer"
0,1,0,0,0,5,0,0,0,0,4,15,4,9,B
2,8,0,0,0,8,0,16,0,0,1,48,7,70,B
0,2,0,0,0,2,0,1,0,0,0,10,3,7,B
0,2,0,0,0,3,0,1,0,0,3,13,4,6,B
1,11,0,0,2,16,0,9,0,0,0,63,30,36,B
0,2,0,0,0,2,0,1,0,0,0,4,5,8,B
0,3,0,0,0,2,0,2,0,0,0,14,7,12,B
0,28,1,1,1,16,0,14,1,0,1,29,23,78,B
0,7,0,0,0,9,0,4,1,0,1,12,9,18,B
0,4,0,0,0,3,0,3,1,0,1,15,7,23,B
0,4,0,0,0,3,0,3,1,0,1,16,7,23,B
1,11,0,0,0,7,0,6,0,0,3,30,12,22,B
0,8,16,0,0,15,0,11,0,0,0,27,7,27,B
0,17,0,0,0,13,0,16,1,0,0,25,19,65,B
0,9,1,0,0,9,0,6,2,0,0,8,6,18,B
0,23,0,0,0,34,0,12,3,0,16,68,41,81,B
0,5,0,0,0,5,0,2,0,0,0,18,10,17,B
0,4,0,0,0,2,0,6,0,0,1,19,5,18,B
0,25,44,0,0,28,0,16,2,0,1,62,35,57,B
0,24,35,0,0,20,0,16,2,0,0,59,34,39,B
0,2,0,0,0,3,0,0,0,0,0,4,3,10,B
0,13,0,0,0,23,0,8,1,0,1,16,12,25,B
0,17,0,0,0,25,0,15,0,0,1,42,20,31,B
0,17,0,0,0,18,0,12,1,0,5,49,18,46,B
0,2,0,0,0,6,0,3,1,0,1,3,3,5,B
0,45,4,0,0,41,0,33,0,0,8,89,47,140,B
6,48,0,1,0,76,0,58,8,0,8,101,64,231,B
0,13,1,0,0,10,0,12,0,0,1,20,8,40,B
0,16,6,0,0,7,0,16,2,0,1,30,9,23,B
0,18,0,0,0,13,0,8,2,0,2,45,22,34,B
0,5,0,0,0,11,0,4,1,0,2,17,11,15,B
0,7,0,0,0,10,0,4,2,0,3,9,4,22,B
0,5,0,0,0,8,0,3,0,0,1,19,8,19,B
0,2,0,0,0,26,0,0,0,0,2,8,8,3,B
0,5,0,0,0,5,0,3,0,0,1,8,3,13,B
0,7,0,0,0,13,0,5,1,0,3,23,10,19,B
0,8,0,1,0,7,0,4,0,0,4,24,11,15,B
0,6,0,0,0,6,0,3,3,0,0,7,13,10,B
0,21,1,0,0,37,0,16,0,0,8,87,20,88,B
0,34,6,0,1,54,0,24,0,0,19,124,33,115,B
1,6,0,0,0,32,0,1,0,0,0,36,21,22,B
0,27,0,0,0,67,0,16,0,0,1,92,58,109,B
0,10,0,0,0,12,0,7,0,0,2,11,12,21,B
0,13,0,0,0,22,0,11,1,0,1,29,13,27,B
0,2,0,0,0,3,0,1,0,0,1,17,3,10,B
0,4,0,2,0,12,0,1,0,0,0,16,9,16,B
0,3,0,0,0,7,0,3,0,0,0,7,4,4,B
0,5,0,0,0,14,0,10,0,0,1,17,9,21,B
0,11,0,0,0,23,0,15,7,0,5,18,12,56,B
1,58,0,0,0,69,0,65,4,0,11,58,61,145,B
0,10,0,0,0,8,0,9,1,0,1,11,7,23,B
5,364,8,1,1,195,1,432,36,0,137,772,420,837,B
0,2,0,0,1,10,0,2,0,0,2,8,5,11,B
0,2,0,0,0,2,0,1,0,0,1,3,8,3,B
0,14,0,0,0,21,0,9,0,0,2,27,28,21,B
0,2,0,0,0,4,0,0,0,0,0,2,6,3,B
0,34,9,0,0,73,0,65,8,0,6,44,24,129,B
0,0,11,0,0,0,0,0,0,0,0,18,23,5,C
0,23,10,1,0,1,0,22,0,0,1,117,31,118,C
0,25,10,0,0,0,0,22,0,0,0,119,33,120,C
0,0,11,0,0,0,0,0,0,0,0,18,23,5,C
0,23,10,1,0,1,0,22,0,0,1,108,31,101,C
0,25,10,0,0,0,0,22,0,0,0,108,33,102,C
0,7,6,2,0,33,0,4,0,0,0,138,10,136,C
0,19,20,0,0,0,0,18,0,0,0,74,64,58,C
0,12,12,0,0,0,0,9,0,0,0,45,49,37,C
0,0,6,0,0,0,0,0,0,0,1,6,4,0,C
0,3,9,0,0,0,0,3,0,0,0,28,13,8,C
0,3,9,0,0,0,0,3,0,0,0,28,13,8,C
0,0,9,0,0,0,0,0,0,0,0,14,14,1,C
0,0,17,0,0,0,0,0,0,0,0,20,17,0,C
0,6,8,0,0,0,0,6,0,0,0,35,34,15,C
0,2,4,0,0,1,0,2,0,0,0,20,9,7,C
0,8,18,0,0,0,0,7,0,0,0,37,37,15,C
0,2,4,0,0,1,0,2,0,0,0,17,11,6,C
0,4,16,0,0,0,0,3,0,0,0,19,26,5,C
0,13,22,0,0,2,0,10,0,1,0,77,30,57,C
0,6,21,0,0,0,0,4,0,1,0,43,30,14,C
0,61,75,0,0,142,0,55,0,5,0,643,51,2770,C
0,4,5,0,0,0,1,2,0,0,0,30,4,55,C
0,4,0,0,0,0,0,0,0,0,0,0,0,0,C
0,3,1,0,0,1,0,2,0,0,0,43,6,80,C
0,2,16,0,0,2,0,2,0,0,0,62,10,88,C
0,0,13,0,0,0,0,0,0,0,0,9,8,1,C
0,8,2,0,0,0,0,0,0,0,0,1,0,1,C
0,1,1,0,0,0,0,0,0,0,0,7,7,4,C
0,7,13,0,0,0,0,5,0,0,0,32,3,32,C
0,1,1,0,0,0,0,0,0,0,0,21,6,29,C
0,1,1,0,0,0,0,0,0,0,0,21,5,29,C
0,46,20,1,0,26,0,39,0,0,0,93,28,139,C
0,10,7,0,0,4,0,10,0,0,0,20,27,38,C
0,1,2,0,0,0,0,0,0,0,0,2,1,0,C
0,0,2,0,0,0,0,0,0,0,0,0,0,0,C
0,18,8,0,0,1,0,14,0,1,1,100,14,75,C
0,0,2,0,0,0,0,0,0,0,0,0,0,0,C
0,19,8,0,0,3,0,15,0,1,1,116,15,80,C
0,0,7,0,0,0,0,0,0,0,0,4,1,0,C
0,1,5,0,0,0,0,1,0,0,0,9,3,7,C
0,5,6,0,0,0,0,5,0,0,0,19,6,14,C
0,5,6,0,0,0,0,5,0,0,0,19,6,14,C
0,10,9,0,0,4,0,10,0,0,0,25,3,28,C
0,0,10,0,0,0,0,0,0,0,0,10,10,0,C
0,1,10,0,0,0,0,1,0,0,0,8,12,2,C
0,8,6,0,0,3,0,7,0,0,0,16,10,23,C
0,43,13,0,0,39,0,33,0,0,0,348,22,651,C
0,7,25,0,0,1,0,6,0,0,0,26,6,17,C
0,62,14,1,0,49,0,60,0,0,2,66,20,135,C
0,32,5,0,0,12,0,31,0,2,0,28,10,68,C
0,20,4,1,0,18,0,18,0,0,0,45,16,92,C
0,20,4,1,0,18,0,18,0,0,0,45,16,96,C
0,16,4,1,0,20,0,14,0,0,0,46,11,109,C
0,20,4,1,0,18,0,18,0,0,0,49,14,103,C
0,18,9,1,0,11,0,18,0,0,0,51,26,69,C
